Epoch,Random_Noise_L2,Predicted_Noise_L2,Improvement_Percent
1,0.7739328145980835,0.8053159713745117,-4.055023405710744
2,1.054534912109375,0.9448198676109314,10.404116851758067
3,1.0183509588241577,0.8057907819747925,20.872978515658154
4,0.6800587177276611,0.44229182600975037,34.962700355107835
5,0.6234879493713379,0.5180550813674927,16.910169332086216
6,0.7269405722618103,0.6900016665458679,5.081420287357232
7,0.9119604825973511,0.7650566101074219,16.108578748010316
8,0.7240768074989319,0.6145901083946228,15.120868113769903
9,0.6361894011497498,0.607229471206665,4.552092488612203
10,1.1960183382034302,0.8415979146957397,29.633360307842306
11,1.140863299369812,0.7610439658164978,33.29227382133496
